Gist,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,,,,OUT,,,,,
,,,,,,,,,,,,,,,,,,,,
Nr inslagbon,Factuur nummer,Naam ontvanger,Datum,Leverancier,Fabricant,Soort,Lot,Houdbaar tot,Hoeveelheid [kg],Kostprijs [€],Afwijking?,Actie?,Opmerkingen,,Nr Brouwsel,Datum,Soort,Hoeveelheid [kg],Kostprijs [€],Lot
,A2023005,Sibren,28/03/2023,Brouwland,Lallemand,Verdant IPA,45806741027711X,01-02-2025,0.055,€18.95,,,,,2023/002,30/03/2023,Verdant IPA,0.055,€18.95,45806741027711X
,A2023005,Sibren,28/03/2023,Brouwland,Fermentis,LP652,2203741590926,01-06-2025,0.1,€83.37,,,,,2023/001,30/03/2023,LP652,0.025,€20.84,2203741590926
,/,Sibren,01/04/2023,Coureur,Fermentis,S-04,2000657 KB,01-12-2023,0.2,€0.00,,,,,2023/001,02/04/2023,S-04,0.2,€0.00,2000657 KB
,A2023012,Sibren,30/05/2023,Brouwland,Fermentis,WB-06,262381,04/25,0.5,€72.14,,,,,2023/004,09/06/2023,WB-06,0.25,€36.07,262381
,A2023030,Sibren,04/07/2023,HVB,Fermentis,BE-256,2200597,01-05-2025,0.5,€65.72,,,,,2023/004,08/06/2023,LP652,0.025,€20.84,2203741590926
,,Sibren,15/02/2024,Brouwland,Fermentis,LP652,2203741590926,01-06-2025,0.1,€83.37,,,,,2023/005,07/07/2023,BE-256,0.25,€32.86,2200597
,,Sibren,04/01/2024,De coureur,Fermentis,S-33,AJH7200848,01-06-2025,0.4,€0.00,,,rest van de coureur,,2023/006,03/08/2023,WB-06,0.25,€36.07,262381
,,Sibren,04/01/2024,De coureur,Fermentis,US-05,AJH152201209,01-06-2025,0.2,€0.00,,,rest van de coureur,,2023/009,01/11/2023,LP652,0.025,€20.84,2203741590926
,,Sibren,08/05/2024,De coureur,Fermentis,S-04,AJH52300276,28-02-2026,0.5,€46.64,,,,,2023/011,29/11/2023,BE-256,0.25,€32.86,2200597
,,Sibren,08/05/2024,De coureur,Lallemand,Voss Kveik,45708840430611V,31/08/2025,0.5,€92.22,,,,,2024/001,24/01/2024,LP652,0.025,€20.84,2203741590926
